replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,post_elo,training_steps,diagnosed_weakness,pre_hole_avoidance,post_hole_avoidance,pre_stack_height_management,post_stack_height_management,pre_surface_smoothness,post_surface_smoothness,pre_line_clearing_efficiency,post_line_clearing_efficiency
0,control,28.333333333333332,26.333333333333332,-2.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1477.8716836114604,40,,-37.12050450922346,-41.21919847463326,-13.283763126970394,-14.1489437159727,-17.88352443337983,-22.309341691588067,0.005952380952380952,0.0
0,rating_only,28.333333333333332,28.333333333333332,0.0,0.16666666666666666,0.16666666666666666,0.0,1500.0,1518.3448301939948,40,,-37.12050450922346,-39.247767857142854,-13.283763126970394,-14.00492216117216,-17.88352443337983,-21.320798992673993,0.005952380952380952,0.005952380952380952
0,rating_history,28.333333333333332,26.0,-2.333333333333332,0.16666666666666666,0.16666666666666666,0.0,1500.0,1503.7834861945448,40,hole_avoidance,-37.12050450922346,-40.28613688780356,-13.283763126970394,-13.664433652766986,-17.88352443337983,-21.091581628248296,0.005952380952380952,0.005952380952380952
1,control,27.833333333333332,25.5,-2.333333333333332,0.0,0.16666666666666666,0.16666666666666666,1500.0,1493.2190858862648,40,,-39.33252873563218,-37.27996418457438,-13.295670498084291,-12.846515399707554,-16.444176245210727,-18.650826207266736,0.0,0.005747126436781609
1,rating_only,27.833333333333332,26.0,-1.8333333333333321,0.0,0.16666666666666666,0.16666666666666666,1500.0,1503.5157716543397,40,,-39.33252873563218,-38.05469531717658,-13.295670498084291,-13.179047207165649,-16.444176245210727,-19.586684048085846,0.0,0.005952380952380952
1,rating_history,27.833333333333332,26.0,-1.8333333333333321,0.0,0.16666666666666666,0.16666666666666666,1500.0,1503.2651424593955,40,hole_avoidance,-39.33252873563218,-38.05469531717658,-13.295670498084291,-13.179047207165649,-16.444176245210727,-19.586684048085846,0.0,0.005952380952380952
2,control,26.666666666666668,29.166666666666668,2.5,0.16666666666666666,0.16666666666666666,0.0,1500.0,1531.263693206478,40,,-37.77753998874688,-33.1051074010506,-13.661863998070894,-13.535995767670464,-18.8145116377875,-19.476063337580833,0.005747126436781609,0.005208333333333333
2,rating_only,26.666666666666668,24.833333333333332,-1.8333333333333357,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1484.0339081301693,40,,-37.77753998874688,-39.607915844266415,-13.661863998070894,-12.978954293896823,-18.8145116377875,-19.082362417276208,0.005747126436781609,0.0
2,rating_history,26.666666666666668,26.5,-0.16666666666666785,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1484.7023986633528,40,hole_avoidance,-37.77753998874688,-37.96986354775829,-13.661863998070894,-14.109306983934934,-18.8145116377875,-20.1788649145213,0.005747126436781609,0.0
3,control,24.5,26.666666666666668,2.166666666666668,0.0,0.16666666666666666,0.16666666666666666,1500.0,1497.1647549465401,40,,-38.59720695970696,-40.54301892551892,-13.710641518974853,-13.418288072081175,-20.89872750706084,-18.87122931666035,0.0,0.005747126436781609
3,rating_only,24.5,26.333333333333332,1.8333333333333321,0.0,0.0,0.0,1500.0,1462.8262022532917,40,,-38.59720695970696,-38.2086844627137,-13.710641518974853,-12.979888604232682,-20.89872750706084,-17.90401708486416,0.0,0.0
3,rating_history,24.5,28.0,3.5,0.0,0.3333333333333333,0.3333333333333333,1500.0,1540.0090428001681,40,hole_avoidance,-38.59720695970696,-41.484262371615316,-13.710641518974853,-13.734325396825398,-20.89872750706084,-18.58935866013072,0.0,0.01011029411764706
4,control,26.666666666666668,27.5,0.8333333333333321,0.0,0.0,0.0,1500.0,1500.0,40,,-37.70031099786383,-33.05359177859178,-13.188246364622893,-12.650342558675892,-18.03476427941111,-16.895855379188713,0.0,0.0
4,rating_only,26.666666666666668,24.166666666666668,-2.5,0.0,0.0,0.0,1500.0,1500.0,40,,-37.70031099786383,-39.999481074481075,-13.188246364622893,-13.65813492063492,-18.03476427941111,-19.62104700854701,0.0,0.0
4,rating_history,26.666666666666668,24.0,-2.666666666666668,0.0,0.0,0.0,1500.0,1500.0,40,hole_avoidance,-37.70031099786383,-38.6482905982906,-13.188246364622893,-13.565277777777778,-18.03476427941111,-20.18215811965812,0.0,0.0
5,control,28.0,28.5,0.5,0.0,0.0,0.0,1500.0,1484.0,40,,-40.22619629474468,-35.24455267757826,-13.372300190848577,-13.426639652523969,-17.666954685099846,-19.955486519413107,0.0,0.0
5,rating_only,28.0,27.0,-1.0,0.0,0.0,0.0,1500.0,1484.736306793522,40,,-40.22619629474468,-34.04919818593451,-13.372300190848577,-13.60590603851005,-17.666954685099846,-24.581352009434845,0.0,0.0
5,rating_history,28.0,27.166666666666668,-0.8333333333333321,0.0,0.16666666666666666,0.16666666666666666,1500.0,1531.263693206478,40,hole_avoidance,-40.22619629474468,-37.82686766405157,-13.372300190848577,-13.753248950921364,-17.666954685099846,-20.327222982424132,0.0,0.005555555555555556
