history_id,split,master_seed,ability_elo,mean_holes,mean_max_height,mean_bumpiness,line_clear_rate,lines_cleared,placements_observed
calibration-000,calibration,500005,1500.0,33.825,12.275,21.4,0.0,0,40
calibration-001,calibration,500005,1500.0,23.0,10.25,18.575,0.0,0,40
calibration-002,calibration,500005,1500.0,21.9,10.675,13.4,0.0,0,40
calibration-003,calibration,500005,1500.0,27.025,11.675,19.35,0.0,0,40
calibration-004,calibration,500005,1500.0,21.725,10.3,17.575,0.0,0,40
calibration-005,calibration,500005,1500.0,32.025,12.175,15.4,0.0,0,40
calibration-006,calibration,500005,1500.0,30.475,11.075,16.1,0.0,0,40
calibration-007,calibration,500005,1500.0,36.425,12.025,21.025,0.0,0,40
calibration-008,calibration,500005,1500.0,28.35,11.825,16.1,0.025,1,40
calibration-009,calibration,500005,1500.0,23.7,10.425,17.525,0.0,0,40
calibration-010,calibration,500005,1500.0,31.55,10.8,16.325,0.0,0,40
calibration-011,calibration,500005,1500.0,27.5,10.875,13.275,0.0,0,40
calibration-012,calibration,500005,1500.0,33.7,11.775,14.375,0.0,0,40
calibration-013,calibration,500005,1500.0,26.725,10.175,15.425,0.0,0,40
calibration-014,calibration,500005,1500.0,30.7,12.575,19.7,0.0,0,40
calibration-015,calibration,500005,1500.0,30.65,11.775,18.7,0.0,0,40
calibration-016,calibration,500005,1500.0,27.825,10.1,14.025,0.0,0,40
calibration-017,calibration,500005,1500.0,33.55,11.15,18.4,0.0,0,40
calibration-018,calibration,500005,1500.0,36.775,12.5,20.375,0.0,0,40
calibration-019,calibration,500005,1500.0,19.4,10.825,19.6,0.0,0,40
calibration-020,calibration,500005,1500.0,35.45,12.0,18.175,0.0,0,40
calibration-021,calibration,500005,1500.0,28.4,11.2,17.075,0.0,0,40
calibration-022,calibration,500005,1500.0,27.0,10.575,20.375,0.0,0,40
calibration-023,calibration,500005,1500.0,34.975,11.575,16.1,0.0,0,40
calibration-024,calibration,500005,1500.0,24.325,12.5,28.7,0.0,0,40
calibration-025,calibration,500005,1500.0,26.8,12.0,17.0,0.0,0,40
calibration-026,calibration,500005,1500.0,27.85,10.975,21.225,0.0,0,40
calibration-027,calibration,500005,1500.0,34.1,12.025,15.0,0.0,0,40
calibration-028,calibration,500005,1500.0,36.825,13.475,17.85,0.0,0,40
calibration-029,calibration,500005,1500.0,35.6,12.0,15.8,0.025,1,40
calibration-030,calibration,500005,1500.0,28.85,11.75,18.475,0.0,0,40
calibration-031,calibration,500005,1500.0,39.65,12.875,19.825,0.0,0,40
calibration-032,calibration,500005,1500.0,31.425,11.575,15.575,0.0,0,40
calibration-033,calibration,500005,1500.0,29.425,11.1,19.6,0.0,0,40
calibration-034,calibration,500005,1500.0,34.375,11.225,13.85,0.0,0,40
calibration-035,calibration,500005,1500.0,26.675,12.075,17.175,0.0,0,40
calibration-036,calibration,500005,1500.0,28.325,11.6,20.7,0.0,0,40
calibration-037,calibration,500005,1500.0,33.45,11.675,19.3,0.0,0,40
calibration-038,calibration,500005,1500.0,26.6,10.05,13.325,0.0,0,40
calibration-039,calibration,500005,1500.0,42.7,12.85,21.45,0.025,1,40
calibration-040,calibration,500005,1500.0,27.05,11.35,14.55,0.0,0,40
calibration-041,calibration,500005,1500.0,35.675,11.425,13.85,0.0,0,40
calibration-042,calibration,500005,1500.0,27.7,10.725,13.775,0.025,1,40
calibration-043,calibration,500005,1500.0,28.975,12.125,21.125,0.0,0,40
calibration-044,calibration,500005,1500.0,26.425,10.975,16.725,0.0,0,40
calibration-045,calibration,500005,1500.0,25.225,12.725,24.1,0.0,0,40
calibration-046,calibration,500005,1500.0,39.0,13.35,21.925,0.05,2,40
calibration-047,calibration,500005,1500.0,36.2,11.9,18.375,0.0,0,40
calibration-048,calibration,500005,1500.0,32.7,12.725,21.8,0.0,0,40
calibration-049,calibration,500005,1500.0,29.65,12.3,16.5,0.0,0,40
calibration-050,calibration,500005,1500.0,25.7,11.35,17.35,0.0,0,40
