replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,training_steps,tutorial,pre_hole_avoidance,pre_stack_height_management,pre_surface_smoothness,pre_line_clearing_efficiency,post_hole_avoidance,post_stack_height_management,post_surface_smoothness,post_line_clearing_efficiency
0,control,26.666666666666668,27.333333333333332,0.6666666666666643,0.0,0.0,0.0,1500.0,40,ordinary_practice,-39.24547650625237,-13.90790787756305,-19.447558629110354,0.0,-38.7613403412254,-13.600255427841635,-19.3240609752104,0.0
0,rating_only,26.666666666666668,26.666666666666668,0.0,0.0,0.0,0.0,1500.0,40,rating_tier_board,-39.24547650625237,-13.90790787756305,-19.447558629110354,0.0,-37.61543209876543,-13.042260208926876,-18.377445394112062,0.0
0,rating_history,26.666666666666668,29.0,2.333333333333332,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,height_management,-39.24547650625237,-13.90790787756305,-19.447558629110354,0.0,-32.594353376611444,-13.011168341813503,-21.192620999072613,0.01075268817204301
1,control,25.833333333333332,29.0,3.166666666666668,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-38.166073304922634,-13.3854765291347,-18.695511278243664,0.0,-33.71614015572859,-12.956201952787048,-18.639849215177357,0.005747126436781609
1,rating_only,25.833333333333332,27.0,1.1666666666666679,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-38.166073304922634,-13.3854765291347,-18.695511278243664,0.0,-35.09775395866882,-13.7453166935051,-20.397779119699408,0.007246376811594203
1,rating_history,25.833333333333332,30.166666666666668,4.333333333333336,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,hole_management,-38.166073304922634,-13.3854765291347,-18.695511278243664,0.0,-30.38303229337712,-12.764646049990878,-19.49706714103266,0.010376756066411238
2,control,25.166666666666668,28.333333333333332,3.1666666666666643,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-42.50197737669627,-13.97342674816438,-22.556185849383002,0.0,-36.445018673688615,-12.678044530487261,-16.717697482248674,0.009259259259259259
2,rating_only,25.166666666666668,28.5,3.333333333333332,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-42.50197737669627,-13.97342674816438,-22.556185849383002,0.0,-37.255469965764085,-13.360651519867206,-19.467732129888994,0.005555555555555556
2,rating_history,25.166666666666668,27.833333333333332,2.6666666666666643,0.0,0.0,0.0,1500.0,40,surface_management,-42.50197737669627,-13.97342674816438,-22.556185849383002,0.0,-37.65910811022207,-13.361783146658452,-19.227464403998717,0.0
3,control,29.333333333333332,28.166666666666668,-1.1666666666666643,0.5,0.16666666666666666,-0.33333333333333337,1500.0,40,ordinary_practice,-35.35633762264978,-13.415799885744601,-19.726048288954335,0.014217342342342343,-34.205925539977265,-13.177983690160413,-20.07404069828639,0.005208333333333333
3,rating_only,29.333333333333332,28.5,-0.8333333333333321,0.5,0.0,-0.5,1500.0,40,rating_tier_board,-35.35633762264978,-13.415799885744601,-19.726048288954335,0.014217342342342343,-37.040238882980816,-13.013157765173894,-17.29561768876285,0.0
3,rating_history,29.333333333333332,27.833333333333332,-1.5,0.5,0.0,-0.5,1500.0,40,hole_management,-35.35633762264978,-13.415799885744601,-19.726048288954335,0.014217342342342343,-38.20177145682151,-12.795377535886434,-16.950993740840794,0.0
4,control,26.333333333333332,26.833333333333332,0.5,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-39.66891491622674,-13.375159189675319,-17.918774699016634,0.0,-40.69583994708995,-13.549239417989417,-20.429462081128747,0.010416666666666666
4,rating_only,26.333333333333332,25.5,-0.8333333333333321,0.0,0.0,0.0,1500.0,40,rating_tier_board,-39.66891491622674,-13.375159189675319,-17.918774699016634,0.0,-39.73348537861979,-13.349621380212778,-19.937296893667863,0.0
4,rating_history,26.333333333333332,24.666666666666668,-1.6666666666666643,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,surface_management,-39.66891491622674,-13.375159189675319,-17.918774699016634,0.0,-37.41938758934373,-12.876201365236453,-17.65270101892909,0.006410256410256411
5,control,26.833333333333332,28.833333333333332,2.0,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,ordinary_practice,-43.54729673449362,-13.719079348671489,-19.68789624086621,0.01075268817204301,-37.4492117078324,-13.492350082867324,-17.72639955829611,0.005952380952380952
5,rating_only,26.833333333333332,27.166666666666668,0.3333333333333357,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,rating_tier_board,-43.54729673449362,-13.719079348671489,-19.68789624086621,0.01075268817204301,-37.61185262587561,-13.389018388058062,-17.393547325935163,0.0
5,rating_history,26.833333333333332,25.0,-1.8333333333333321,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,height_management,-43.54729673449362,-13.719079348671489,-19.68789624086621,0.01075268817204301,-36.354713247741806,-12.575159574823363,-17.301203286250708,0.0
6,control,24.333333333333332,26.0,1.6666666666666679,0.0,0.0,0.0,1500.0,40,ordinary_practice,-42.48104277633263,-13.312396775259094,-17.207430116850407,0.0,-37.42232120155461,-13.681864988558353,-22.9338454832734,0.0
6,rating_only,24.333333333333332,26.166666666666668,1.8333333333333357,0.0,0.0,0.0,1500.0,40,rating_tier_board,-42.48104277633263,-13.312396775259094,-17.207430116850407,0.0,-35.199072611975836,-13.398313156377672,-22.084340927889315,0.0
6,rating_history,24.333333333333332,25.666666666666668,1.3333333333333357,0.0,0.0,0.0,1500.0,40,hole_management,-42.48104277633263,-13.312396775259094,-17.207430116850407,0.0,-36.332220078771805,-13.136477775098465,-19.860408327304878,0.0
7,control,27.0,27.833333333333332,0.8333333333333321,0.0,0.0,0.0,1500.0,40,ordinary_practice,-35.416180131596796,-13.270361552028218,-20.365542752001087,0.0,-35.87810846560846,-13.135736331569664,-19.78070987654321,0.0
7,rating_only,27.0,27.833333333333332,0.8333333333333321,0.0,0.0,0.0,1500.0,40,rating_tier_board,-35.416180131596796,-13.270361552028218,-20.365542752001087,0.0,-34.55205026455027,-13.139594356261023,-19.98529541446208,0.0
7,rating_history,27.0,29.5,2.5,0.0,0.5,0.5,1500.0,40,surface_management,-35.416180131596796,-13.270361552028218,-20.365542752001087,0.0,-37.298151188955785,-13.139223377729126,-17.63860001216323,0.01521164021164021
8,control,27.333333333333332,27.833333333333332,0.5,0.0,0.5,0.5,1500.0,40,ordinary_practice,-36.11479708863517,-13.170644668508237,-19.647030742870324,0.0,-34.96634671575502,-13.060076487035639,-20.573806730319703,0.015793010752688172
8,rating_only,27.333333333333332,26.0,-1.3333333333333321,0.0,0.0,0.0,1500.0,40,rating_tier_board,-36.11479708863517,-13.170644668508237,-19.647030742870324,0.0,-39.844170164565824,-13.84338778412128,-20.146352843825838,0.0
8,rating_history,27.333333333333332,26.333333333333332,-1.0,0.0,0.0,0.0,1500.0,40,height_management,-36.11479708863517,-13.170644668508237,-19.647030742870324,0.0,-40.736050061050065,-13.293772893772895,-17.79471916971917,0.0
9,control,25.833333333333332,28.5,2.666666666666668,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-37.65054746938241,-13.855930449049374,-20.19057678534005,0.006410256410256411,-35.79932282812149,-13.896355133626175,-20.14421203756762,0.0
9,rating_only,25.833333333333332,29.0,3.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,rating_tier_board,-37.65054746938241,-13.855930449049374,-20.19057678534005,0.006410256410256411,-37.66311075156459,-13.947502162897045,-19.48171840765834,0.010426849136526556
9,rating_history,25.833333333333332,28.666666666666668,2.8333333333333357,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,surface_management,-37.65054746938241,-13.855930449049374,-20.19057678534005,0.006410256410256411,-36.002974910394265,-13.447885304659497,-18.042759856630823,0.005376344086021505
10,control,26.666666666666668,28.166666666666668,1.5,0.5,0.16666666666666666,-0.33333333333333337,1500.0,40,ordinary_practice,-45.827008547008546,-13.482385392385392,-16.926324786324788,0.016511266511266512,-40.347852416400805,-13.344730985860018,-15.882519004293197,0.005555555555555556
10,rating_only,26.666666666666668,27.0,0.33333333333333215,0.5,0.5,0.0,1500.0,40,rating_tier_board,-45.827008547008546,-13.482385392385392,-16.926324786324788,0.016511266511266512,-36.931678666161424,-13.25525872594838,-19.327803039872006,0.01746031746031746
10,rating_history,26.666666666666668,27.333333333333332,0.6666666666666643,0.5,0.5,0.0,1500.0,40,hole_management,-45.827008547008546,-13.482385392385392,-16.926324786324788,0.016511266511266512,-39.872710167537754,-13.19030782203196,-15.72981955809542,0.013513513513513514
11,control,27.833333333333332,28.0,0.16666666666666785,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-35.922238361893534,-13.315895003251326,-18.975948264166654,0.0,-37.55700297999149,-13.228439270393293,-18.284310836034976,0.011302681992337164
11,rating_only,27.833333333333332,26.333333333333332,-1.5,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-35.922238361893534,-13.315895003251326,-18.975948264166654,0.0,-39.72228697228697,-13.339457927693221,-18.391106896008857,0.004901960784313725
11,rating_history,27.833333333333332,27.666666666666668,-0.1666666666666643,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,hole_management,-35.922238361893534,-13.315895003251326,-18.975948264166654,0.0,-36.673345057720056,-13.370441518358184,-19.59351200497034,0.005555555555555556
12,control,29.0,29.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,ordinary_practice,-39.12265834523899,-13.404364989848862,-18.50579157998513,0.010426849136526556,-40.463975775495385,-13.807588313103018,-16.985607946882457,0.0
