replicate,raw_ability_elo,raw_mean_holes,raw_mean_max_height,raw_mean_bumpiness,raw_line_clear_rate,raw_lines_cleared,raw_placements_observed,z_hole_management,z_height_management,z_surface_management,primary_weakness,secondary_weakness,top_two_margin,confidence,mixed,selected_tutorial
0,1500.0,33.825,12.375,19.05,0.05,2,40,0.7197434691293788,0.8722611180527866,0.2729452493984057,height_management,hole_management,0.1525176489234078,low/mixed,True,stack_height
1,1500.0,38.9,12.1,17.025,0.0,0,40,1.829880608331686,0.5373615613833047,-0.3957448133999564,hole_management,height_management,1.2925190469483814,high,False,hole_avoidance
2,1500.0,29.55,10.85,13.55,0.0,0,40,-0.2153966826124675,-0.9849091507507024,-1.54324998289344,hole_management,height_management,0.7695124681382349,high,False,hole_avoidance
3,1500.0,32.45,11.625,15.925,0.0,0,40,0.4189673969317091,-0.04110130922761759,-0.7589838598583248,hole_management,height_management,0.46006870615932666,moderate,False,hole_avoidance
4,1500.0,24.35,10.925,24.725,0.0,0,40,-1.3528771011054728,-0.8935729080226607,2.1469285118086288,surface_management,height_management,3.0405014198312896,high,False,bumpiness
5,1500.0,27.9,11.2,18.175,0.0,0,40,-0.5763279692496717,-0.5586733513531809,-0.015994901193478853,surface_management,height_management,0.542678450159702,moderate,False,bumpiness
6,1500.0,34.55,12.575,22.725,0.0,0,40,0.8783344890154215,1.115824431994227,1.486493881884321,surface_management,height_management,0.370669449890094,moderate,False,bumpiness
7,1500.0,31.475,12.15,21.35,0.0,0,40,0.20568981846427026,0.5982523898686658,1.0324450738113595,surface_management,height_management,0.4341926839426937,moderate,False,bumpiness
8,1500.0,30.2,11.35,19.275,0.0,0,40,-0.07321163030084213,-0.3760008658970996,0.34724414526488956,surface_management,hole_management,0.42045577556573166,moderate,False,bumpiness
9,1500.0,36.075,12.4,16.875,0.0,0,40,1.2119224963619293,0.9027065322954673,-0.445277410644279,hole_management,height_management,0.309215964066462,low/mixed,True,hole_avoidance
10,1500.0,24.75,11.2,22.925,0.0,0,40,-1.265378607375242,-0.5586733513531809,1.5525373448767514,surface_management,height_management,2.111210696229932,high,False,bumpiness
11,1500.0,41.75,12.675,15.925,0.05,2,40,2.4533073761595836,1.2376060889649492,-0.7589838598583248,hole_management,height_management,1.2157012871946344,high,False,hole_avoidance
12,1500.0,34.45,12.3,17.65,0.0,0,40,0.856459865582865,0.7809248753247471,-0.18935899154861027,hole_management,height_management,0.07553499025811794,low/mixed,True,hole_avoidance
13,1500.0,31.05,13.25,16.775,0.0,0,40,0.11272266887589946,1.9378506165465916,-0.47829914214049485,height_management,hole_management,1.825127947670692,high,False,stack_height
14,1500.0,33.95,12.0,15.1,0.0,0,40,0.747086748420076,0.4155799044125845,-1.031413144702102,hole_management,height_management,0.33150684400749153,low/mixed,True,hole_avoidance
15,1500.0,24.975,10.325,17.3,0.0,0,40,-1.2161607046519867,-1.6242628498469858,-0.3049350517853634,surface_management,hole_management,0.9112256528666233,high,False,bumpiness
16,1500.0,29.4,11.2,15.6,0.0,0,40,-0.24820861776130465,-0.5586733513531809,-0.8663044872210252,hole_management,height_management,0.3104647335918762,low/mixed,True,hole_avoidance
17,1500.0,30.525,12.25,22.125,0.0,0,40,-0.002119104145029441,0.720034046839386,1.2883634929070282,surface_management,height_management,0.5683294460676422,moderate,False,bumpiness
18,1500.0,33.2,12.875,21.35,0.0,0,40,0.5830270726758926,1.4811694029063895,1.0324450738113595,height_management,surface_management,0.44872432909503,moderate,False,stack_height
19,1500.0,42.3,13.225,20.65,0.0,0,40,2.573617805038651,1.907405202303911,0.801292953337851,hole_management,height_management,0.6662126027347399,moderate,False,hole_avoidance
20,1500.0,33.0,12.125,20.125,0.0,0,40,0.5392778258107763,0.5678069756259853,0.6279288629827208,surface_management,height_management,0.060121887356735515,low/mixed,True,bumpiness
21,1500.0,24.0,11.225,16.675,0.0,0,40,-1.4294382831194254,-0.5282279371105003,-0.5113208736367095,surface_management,height_management,0.016907063473790784,low/mixed,True,bumpiness
22,1500.0,39.8,13.3,15.375,0.05,2,40,2.026752219224706,1.9987414450319527,-0.9406033830875097,hole_management,height_management,0.02801077419275333,low/mixed,True,hole_avoidance
23,1500.0,27.925,11.85,17.925,0.0,0,40,-0.5708593133915317,0.23290741895650324,-0.0985492299340173,height_management,surface_management,0.3314566488905205,low/mixed,True,stack_height
24,1500.0,24.0,11.475,25.525,0.025,1,40,-1.4294382831194254,-0.22377379468369887,2.4111023637783506,surface_management,height_management,2.6348761584620495,high,False,bumpiness
25,1500.0,32.35,13.3,20.125,0.0,0,40,0.397092773499151,1.9987414450319527,0.6279288629827208,height_management,surface_management,1.3708125820492318,high,False,stack_height
26,1500.0,27.925,11.475,17.975,0.0,0,40,-0.5708593133915317,-0.22377379468369887,-0.08203836418590937,surface_management,height_management,0.1417354304977895,low/mixed,True,bumpiness
27,1500.0,25.85,11.8,17.275,0.0,0,40,-1.0247577496171059,0.17201659047114426,-0.31319048465941796,height_management,surface_management,0.4852070751305622,moderate,False,stack_height
28,1500.0,25.8,11.05,16.425,0.0,0,40,-1.0356950613333848,-0.7413458368092599,-0.5938752023772479,surface_management,height_management,0.14747063443201203,low/mixed,True,bumpiness
29,1500.0,40.75,12.875,19.25,0.0,0,40,2.2345611418340057,1.4811694029063895,0.3389887123908362,hole_management,height_management,0.7533917389276161,high,False,hole_avoidance
30,1500.0,24.05,10.875,18.725,0.0,0,40,-1.4185009714031465,-0.9544637365080219,0.16562462203570597,surface_management,height_management,1.1200883585437278,high,False,bumpiness
31,1500.0,32.725,12.375,24.925,0.025,1,40,0.47912261137124273,0.8722611180527866,2.212971974801059,surface_management,height_management,1.3407108567482724,high,False,bumpiness
32,1500.0,32.85,12.25,18.625,0.0,0,40,0.5064658906619399,0.720034046839386,0.13260289053949012,height_management,hole_management,0.21356815617744607,low/mixed,True,stack_height
33,1500.0,31.4,13.575,17.875,0.025,1,40,0.18928385088985128,2.3336410017014324,-0.11506009568212522,height_management,hole_management,2.1443571508115813,high,False,stack_height
34,1500.0,26.0,11.7,21.075,0.0,0,40,-0.9919458144682695,0.05023493350042197,0.9416353121967665,surface_management,height_management,0.8914003786963446,high,False,bumpiness
35,1500.0,23.875,11.15,18.95,0.0,0,40,-1.4567815624101226,-0.6195641798385398,0.23992351790218985,surface_management,height_management,0.8594876977407298,high,False,bumpiness
36,1500.0,37.675,12.1,21.3,0.0,0,40,1.5619164712828528,0.5373615613833047,1.0159342080632516,hole_management,surface_management,0.5459822632196012,moderate,False,hole_avoidance
37,1500.0,25.225,12.3,20.975,0.0,0,40,-1.1614741460705922,0.7809248753247471,0.908613580700552,surface_management,height_management,0.1276887053758049,low/mixed,True,bumpiness
38,1500.0,24.5,11.35,20.45,0.0,0,40,-1.3200651659566365,-0.3760008658970996,0.7352494903454205,surface_management,height_management,1.11125035624252,high,False,bumpiness
39,1500.0,36.0,12.075,16.025,0.0,0,40,1.1955165287875102,0.506916147140624,-0.7259621283621102,hole_management,height_management,0.6886003816468862,moderate,False,hole_avoidance
40,1500.0,33.55,10.625,10.95,0.0,0,40,0.6595882546898436,-1.2589178789348232,-2.40181500179504,hole_management,height_management,1.9185061336246667,high,False,hole_avoidance
41,1500.0,26.875,9.975,14.425,0.0,0,40,-0.8005428594333888,-2.050498649244507,-1.2543098323015556,hole_management,surface_management,0.4537669728681668,moderate,False,hole_avoidance
42,1500.0,32.9,12.875,21.925,0.0,0,40,0.5174032023782182,1.4811694029063895,1.2223200299145978,height_management,surface_management,0.2588493729917918,low/mixed,True,stack_height
43,1500.0,27.225,11.125,14.15,0.0,0,40,-0.7239816774194361,-0.6500095940812204,-1.3451195939161478,height_management,hole_management,0.0739720833382157,low/mixed,True,stack_height
44,1500.0,33.1,10.675,14.35,0.0,0,40,0.5611524492433345,-1.1980270504494621,-1.2790761309237173,hole_management,height_management,1.7591794996927965,high,False,hole_avoidance
45,1500.0,31.125,11.45,15.175,0.0,0,40,0.12912863645031766,-0.25421920892637945,-1.0066468460799403,hole_management,height_management,0.3833478453766971,moderate,False,hole_avoidance
46,1500.0,33.9,12.275,16.575,0.025,1,40,0.7361494367037962,0.7504794610820665,-0.5443426051329253,height_management,hole_management,0.014330024378270356,low/mixed,True,stack_height
47,1500.0,30.625,11.725,21.8,0.0,0,40,0.019755519287528667,0.08068034774310255,1.1810428655443286,surface_management,height_management,1.100362517801226,high,False,bumpiness
48,1500.0,34.3,10.9,14.825,0.0,0,40,0.8236479304340271,-0.9240183222653412,-1.1222229063166944,hole_management,height_management,1.7476662526993683,high,False,hole_avoidance
