replicate,diagnosed_weakness,target_metric,pre_score,post_score,improvement,standardized_improvement,general_improvement,confidence,mixed
0,height_management,stack_height_management,-14.428962937647148,-13.41935715609937,1.0096057815477781,1.2295146496410776,7.0,low/mixed,True
1,hole_management,hole_avoidance,-35.0718649273247,-37.84661442006269,-2.774749492737996,-0.6069660027332443,0.16666666666666785,high,False
2,hole_management,hole_avoidance,-38.81117994207756,-39.3158543616877,-0.50467441961014,-0.11039562885016475,0.6666666666666643,high,False
3,hole_management,hole_avoidance,-39.81194444444444,-38.34594739667203,1.4659970477724116,0.32068133373262947,-0.6666666666666643,moderate,False
4,surface_management,surface_smoothness,-17.20009842009842,-16.259976870998376,0.940121549100045,0.3104444136818775,1.6666666666666643,high,False
5,surface_management,surface_smoothness,-16.59330012077295,-19.27129358296025,-2.6779934621873025,-0.8843198105696931,-0.8333333333333321,moderate,False
6,surface_management,surface_smoothness,-19.39599026881192,-20.36780468592063,-0.9718144171087069,-0.32090994745914775,-1.0,moderate,False
7,surface_management,surface_smoothness,-18.21676991378141,-20.25305996472663,-2.0362900509452224,-0.6724182331072787,-0.6666666666666679,moderate,False
8,surface_management,surface_smoothness,-19.428007068255493,-22.237515262515263,-2.80950819425977,-0.9277482522726304,-0.6666666666666679,moderate,False
9,hole_management,hole_avoidance,-37.09434089971997,-38.14764448514448,-1.0533035854245156,-0.23040619291324255,-1.5,low/mixed,True
